event_id,event_date,actor1_name,actor1_country,actor2_name,actor2_country,geo_country,geo_lat,geo_long,event_code,impact_score,num_mentions,num_sources,num_articles,avg_tone
410446884,2014-02-19,MILITARY,,IRISH,IRL,EI,53.0,-8.0,195,-10.0,7,1,7,-2.59067357512953
410446885,2014-02-19,ABBOT,,MELBOURNE,AUS,AS,-37.8167,144.967,42,1.9,6,1,6,0.67001675041876
410446886,2014-02-19,UNITED STATES,USA,,,US,18.2766,-66.335,10,0.0,4,1,4,-4.87804878048781
410446887,2014-02-19,UNITED STATES,USA,,,US,40.5773,-77.264,20,3.0,4,1,4,-3.47938144329897
410446888,2014-02-19,UNITED STATES,USA,,,US,44.4996,-122.585,40,1.0,8,1,8,-1.93798449612403
410446889,2014-02-19,CHICAGO,USA,,,US,39.0646,-105.327,40,1.0,8,1,8,-0.93457943925234
410446890,2014-02-19,UNITED STATES,USA,,,US,42.1497,-74.9384,40,1.0,1,1,1,-0.93457943925234
410446891,2014-02-19,UNITED STATES,USA,,,US,37.768,-78.2057,40,1.0,1,1,1,-0.93457943925234
410446892,2014-02-19,UNITED STATES,USA,,,US,42.1497,-74.9384,115,-2.0,4,1,4,-4.28571428571429
410446893,2014-02-19,A US,USA,CUBA,CUB,AS,-33.8833,151.217,50,3.5,2,1,2,-5.90790616854909
410446894,2014-02-19,A US,USA,CUBA,CUB,AS,-33.8833,151.217,50,3.5,8,1,8,-5.90790616854909
410446895,2014-02-19,A US,USA,CUBA,CUB,AS,-33.8833,151.217,51,3.4,2,1,2,-5.90790616854909
410446896,2014-02-19,A US,USA,CUBA,CUB,AS,-33.8833,151.217,51,3.4,8,1,8,-5.90790616854909
410446897,2014-02-19,UNITED STATES,USA,STUDENT,,US,44.4996,-122.585,40,1.0,8,1,8,-1.93798449612403
410446898,2014-02-19,BARACK OBAMA,USA,CUBA,CUB,CU,21.5,-80.0,13,0.4,1,1,1,-5.61797752808988
410446899,2014-02-19,BARACK OBAMA,USA,CUBA,CUB,CU,21.5,-80.0,13,0.4,2,1,2,-5.61797752808988
410446900,2014-02-19,MORO,,,,AS,-37.8167,144.967,62,7.4,18,3,18,1.22349102773246
410446901,2015-01-20,DEPUTY,,,,ID,-5.0,120.0,114,-2.0,6,1,6,-7.94044665012411
410446902,2015-01-20,FRANCE,FRA,GERMANY,DEU,GM,51.0,9.0,36,4.0,6,1,6,-0.0822368421052699
